"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5337","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","15.207033","0","8"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","8.304557","0","5"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","11","1","0.000000","0","0"
"/Game/Vehicles/SportsCar/Materials/M_SportsCar_Lights.M_SportsCar_Lights","0","0","46","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","11","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","2","0.000000","0","0"
"/Game/Vehicles/SportsCar/Materials/M_SportsCar_Wheel.M_SportsCar_Wheel","0","0","26","1","0.000000","0","0"
"/Game/Vehicles/SportsCar/Materials/M_SportsCar.M_SportsCar","0","0","90","3","0.000000","0","0"
"/Game/Vehicles/OffroadCar/Materials/M_OffroadCar_Wheel.M_OffroadCar_Wheel","0","0","26","1","0.000000","0","0"
"/Game/Track/M_Track.M_Track","0","0","26","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","2.420869","0","5"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","8.150603","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","8.484121","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","6.110867","0","4"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","27","29","1","41.743793","0","29"
"/Game/Tracks/Prueba_mapa2/Material_002.Material_002","0","14","14","1","19.399841","0","14"
"/Game/Tracks/Prueba_mapa2/Material_001.Material_001","0","14","14","1","0.000000","0","14"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","23","23","1","37.385342","0","23"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","23","23","1","34.888233","0","23"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","23","23","1","44.145817","0","23"
"/Game/Tracks/mapa_02/Material_005.Material_005","0","14","14","1","0.000000","0","14"
"/Game/Tracks/mapa_02/Material_003.Material_003","0","14","14","1","0.000000","0","14"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","0","42","44","1","63.354645","0","44"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","17","17","1","18.551899","0","17"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","23","23","1","35.457695","0","23"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","23","23","1","29.313028","0","23"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","0.000000","0","14"
